StudentID;Age;Gender;Ethnicity
1001;17;1;0
1002;18;0;0
1003;15;0;2
1004;17;1;0
1005;17;1;0
1006;18;0;0
1007;15;0;1
1008;15;1;1
1009;17;0;0
1010;16;1;0
1011;17;0;0
1012;17;0;0
1013;17;0;1
1014;17;0;1
1015;18;1;0
1016;15;0;0
1017;18;0;3
1018;18;1;0
1019;18;0;1
1020;17;0;0
1021;16;1;0
1022;15;0;0
1023;16;1;1
1024;18;1;3
1025;18;1;0
1026;16;1;0
1027;16;0;0
1028;16;1;0
1029;18;0;0
1030;18;0;0
1031;15;0;2
1032;15;0;0
1033;18;0;0
1034;16;0;3
1035;16;0;0
1036;15;0;3
1037;18;0;0
1038;15;0;2
1039;15;1;1
1040;17;1;2
1041;17;1;3
1042;17;0;0
1043;16;1;3
1044;18;1;0
1045;18;1;0
1046;18;0;0
1047;18;0;1
1048;17;0;0
1049;16;0;1
1050;16;1;1
1051;17;1;2
1052;16;1;2
1053;17;1;0
1054;18;0;0
1055;17;0;0
1056;18;0;0
1057;18;1;0
1058;15;0;0
1059;17;0;0
1060;15;1;3
1061;17;1;1
1062;17;0;0
1063;15;0;1
1064;15;0;0
1065;17;0;0
1066;16;0;1
1067;18;0;0
1068;15;1;0
1069;18;1;3
1070;16;1;2
1071;16;0;1
1072;16;1;1
1073;15;0;1
1074;16;0;0
1075;15;1;0
1076;16;0;0
1077;18;0;0
1078;18;1;1
1079;17;1;0
1080;18;1;3
1081;17;0;3
1082;18;1;2
1083;15;1;1
1084;18;0;2
1085;17;1;0
1086;17;1;2
1087;16;1;0
1088;15;0;2
1089;18;0;0
1090;16;9;2
1091;18;0;3
1092;18;9;0
1093;16;0;0
1094;16;0;3
1095;16;1;0
1096;16;1;2
1097;16;1;1
1098;18;0;0
1099;16;0;0
1100;15;0;0
1101;17;1;2
1102;16;1;0
1103;16;0;1
1104;18;9;0
1105;16;1;1
1106;16;1;2
1107;16;0;3
1108;18;1;0
1109;16;1;2
1110;17;0;2
1111;18;0;1
1112;17;1;3
1113;18;1;0
1114;16;0;0
1115;17;0;2
1116;18;1;0
1117;15;1;2
1118;16;1;2
1119;18;1;0
1120;15;0;2
1121;18;1;0
1122;15;1;1
1123;16;0;1
1124;17;1;3
1125;15;0;0
1126;18;1;0
1127;16;1;1
1128;15;0;2
1129;18;0;1
1130;18;1;0
1131;18;1;0
1132;15;1;0
1133;15;0;2
1134;15;1;0
1135;17;0;0
1136;15;0;3
1137;15;1;0
1138;15;0;3
1139;17;1;1
1140;15;1;2
1141;18;1;0
1142;15;1;0
1143;18;1;2
1144;18;0;2
1145;18;0;2
1146;17;1;0
1147;17;1;2
1148;17;0;2
1149;15;0;1
1150;18;0;2
1151;17;0;2
1152;17;9;1
1153;15;1;0
1154;17;0;0
1155;15;1;0
1156;16;0;0
1157;17;1;0
1158;16;0;0
1159;15;1;0
1160;18;0;0
1161;17;9;2
1162;15;1;3
1163;18;0;0
1164;18;1;3
1165;16;1;1
1166;15;0;0
1167;18;1;0
1168;17;1;1
1169;17;1;2
1170;16;9;2
